Date,Day,Month,Year,Customer_Age,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Revenue,Cost,YearMonth
2016-04-05,5,April,2016,17,F,United States,California,Clothing,Caps,AWC Logo Cap,23,7,9.648,42,253,161,2016-April
2016-04-15,15,April,2016,40,F,United States,California,Clothing,Caps,AWC Logo Cap,8,7,9.648,15,121,56,2016-April
2016-03-10,10,March,2016,23,M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5.0,27,95,18,2016-March
2016-01-10,10,January,2016,25,F,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,Touring Tire Tube,11,2,5.0,26,98,22,2016-January
2016-05-02,2,May,2016,19,M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,2,1,2.0,2,54,2,2016-May
2016-01-25,25,January,2016,22,M,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 40",2,1083,1701.0,1100,3316,2166,2016-January
2016-05-01,1,May,2016,17,F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,1,1,2.144,1,52,1,2016-May
2016-07-16,16,July,2016,35,M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5.36,15,75,10,2016-July
2016-05-30,30,May,2016,45,F,United States,California,Accessories,Cleaners,Bike Wash - Dissolver,18,3,8.576,87,191,54,2016-May
2016-05-31,31,May,2016,29,M,United States,Washington,Accessories,Hydration Packs,Hydration Pack - 70 oz.,19,21,58.96,416,865,399,2016-May
2016-07-15,15,July,2016,43,M,Germany,Hamburg,Accessories,Fenders,Fender Set - Mountain,13,8,22.0,162,316,104,2016-July
2016-02-17,17,February,2016,50,F,United States,Washington,Accessories,Tires and Tubes,HL Road Tire,4,12,35.376000000000005,55,153,48,2016-February
2016-03-22,22,March,2016,45,F,United States,California,Accessories,Tires and Tubes,Road Tire Tube,13,1,4.288,38,101,13,2016-March
2016-02-26,26,February,2016,29,M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,7,1,2.0,6,63,7,2016-February
2016-06-05,5,June,2016,32,F,Australia,Victoria,Accessories,Tires and Tubes,Mountain Tire Tube,11,2,5.0,21,93,22,2016-June
2016-04-13,13,April,2016,26,M,Australia,Queensland,Accessories,Tires and Tubes,Touring Tire Tube,12,2,5.0,26,100,24,2016-April
2016-03-01,1,March,2016,40,M,Australia,Queensland,Accessories,Helmets,"Sport-100 Helmet, Blue",11,13,35.0,180,373,143,2016-March
2016-03-04,4,March,2016,28,F,United States,Washington,Accessories,Cleaners,Bike Wash - Dissolver,30,3,8.576,97,237,90,2016-March
2016-03-27,27,March,2016,27,M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5.36,61,153,42,2016-March
2016-06-20,20,June,2016,34,M,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,1,2,5.0,2,54,2,2016-June
2016-05-12,12,May,2016,17,M,Australia,New South Wales,Accessories,Tires and Tubes,HL Road Tire,7,12,33.0,117,251,84,2016-May
2016-03-07,7,March,2016,47,F,United States,California,Accessories,Bottles and Cages,Mountain Bottle Cage,28,4,10.72,162,324,112,2016-March
2016-01-18,18,January,2016,40,M,France,Yveline,Accessories,Helmets,"Sport-100 Helmet, Blue",24,13,35.0,326,688,312,2016-January
2016-04-14,14,April,2016,51,F,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,10,2,5.36,29,99,20,2016-April
2016-06-02,2,June,2016,39,F,United States,Washington,Bikes,Touring Bikes,"Touring-1000 Yellow, 54",1,1482,2555.648,378,1910,1482,2016-June
2016-06-05,5,June,2016,49,M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",6,42,57.888000000000005,66,368,252,2016-June
2016-05-03,3,May,2016,52,F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",3,1252,2460.2400000000002,2991,6797,3756,2016-May
2016-04-26,26,April,2016,34,M,United States,California,Bikes,Touring Bikes,"Touring-3000 Yellow, 50",2,461,795.4240000000001,532,1504,922,2016-April
2016-04-04,4,April,2016,31,F,France,Seine Saint Denis,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2.0,13,83,20,2016-April
2016-03-23,23,March,2016,31,F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5.0,31,103,22,2016-March
2016-06-14,14,June,2016,36,F,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, L",6,9,24.0,71,175,54,2016-June
2016-05-23,23,May,2016,37,M,France,Nord,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701.0,397,1530,1083,2016-May
2016-04-09,9,April,2016,49,F,Germany,Saarland,Accessories,Tires and Tubes,Touring Tire Tube,19,2,5.0,40,128,38,2016-April
2016-04-25,25,April,2016,17,F,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5.0,2,54,2,2016-April
2016-06-12,12,June,2016,49,F,United States,Washington,Bikes,Road Bikes,"Road-650 Black, 44",1,487,839.3760000000001,124,661,487,2016-June
2016-04-01,1,April,2016,31,F,Canada,British Columbia,Clothing,Caps,AWC Logo Cap,16,7,9.0,31,193,112,2016-April
2016-06-15,15,June,2016,43,M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2487.04,1008,2324,1266,2016-June
2016-02-07,7,February,2016,32,M,United States,Oregon,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",17,38,53.6,85,781,646,2016-February
2016-05-24,24,May,2016,51,M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,2,4,10.0,12,70,8,2016-May
2016-04-20,20,April,2016,31,F,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578.0,942,3163,2171,2016-April
2016-01-12,12,January,2016,29,F,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 38",1,713,1120.0,362,1125,713,2016-January
2016-03-23,23,March,2016,18,F,Australia,Queensland,Accessories,Tires and Tubes,LL Road Tire,19,8,21.0,183,385,152,2016-March
2016-01-11,11,January,2016,25,M,United Kingdom,England,Accessories,Fenders,Fender Set - Mountain,28,8,22.0,367,641,224,2016-January
2016-04-29,29,April,2016,39,F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",2,13,35.0,43,119,26,2016-April
2016-06-24,24,June,2016,35,M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,1,1,2.0,1,52,1,2016-June
2016-01-10,10,January,2016,30,F,Australia,New South Wales,Accessories,Cleaners,Bike Wash - Dissolver,21,3,8.0,83,196,63,2016-January
2016-02-09,9,February,2016,40,M,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",12,42,54.0,118,672,504,2016-February
2016-04-02,2,April,2016,52,M,United States,California,Accessories,Tires and Tubes,LL Mountain Tire,13,9,26.8,202,369,117,2016-April
2016-03-24,24,March,2016,25,F,France,Nord,Accessories,Helmets,"Sport-100 Helmet, Black",3,13,35.0,52,141,39,2016-March
2016-04-17,17,April,2016,25,F,Germany,Nordrhein-Westfalen,Accessories,Helmets,"Sport-100 Helmet, Black",17,13,35.0,297,568,221,2016-April
2016-03-15,15,March,2016,27,F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5.0,8,64,6,2016-March
2016-06-18,18,June,2016,41,F,United States,California,Accessories,Tires and Tubes,ML Mountain Tire,19,11,32.160000000000004,350,609,209,2016-June
2016-05-06,6,May,2016,46,F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",4,13,37.52,85,187,52,2016-May
2016-06-14,14,June,2016,28,F,Germany,Hamburg,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",16,42,54.0,132,854,672,2016-June
2016-05-07,7,May,2016,33,F,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,17,2,5.0,40,124,34,2016-May
2016-04-02,2,April,2016,29,M,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320.0,892,2208,1266,2016-April
2016-04-16,16,April,2016,27,M,Canada,British Columbia,Clothing,Caps,AWC Logo Cap,27,7,9.0,52,291,189,2016-April
2016-04-12,12,April,2016,25,M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,1252,2295.0,2040,4594,2504,2016-April
2016-07-27,27,July,2016,24,F,France,Seine Saint Denis,Accessories,Tires and Tubes,ML Road Tire,25,9,25.0,288,563,225,2016-July
2016-01-26,26,January,2016,18,F,Germany,Hessen,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540.0,158,552,344,2016-January
2016-03-07,7,March,2016,33,M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Red",24,13,35.0,419,781,312,2016-March
2016-05-16,16,May,2016,36,F,Australia,New South Wales,Clothing,Caps,AWC Logo Cap,12,7,9.0,10,144,84,2016-May
2016-06-14,14,June,2016,29,F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Black",14,13,35.0,288,520,182,2016-June
2016-05-07,7,May,2016,57,M,United States,Washington,Accessories,Cleaners,Bike Wash - Dissolver,26,3,8.576,84,212,78,2016-May
2016-05-17,17,May,2016,32,F,France,Nord,Accessories,Helmets,"Sport-100 Helmet, Black",11,13,35.0,192,385,143,2016-May
2016-03-27,27,March,2016,27,M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5.36,73,173,50,2016-March
2016-05-01,1,May,2016,30,M,Germany,Hessen,Accessories,Hydration Packs,Hydration Pack - 70 oz.,24,21,55.0,724,1278,504,2016-May
2016-03-05,5,March,2016,42,M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5.0,80,184,54,2016-March
2016-07-16,16,July,2016,40,F,Canada,British Columbia,Clothing,Socks,"Racing Socks, M",31,3,9.0,183,326,93,2016-July
2016-03-28,28,March,2016,35,M,Australia,New South Wales,Clothing,Caps,AWC Logo Cap,20,7,9.0,17,207,140,2016-March
2016-04-28,28,April,2016,33,F,Australia,New South Wales,Accessories,Fenders,Fender Set - Mountain,22,8,22.0,245,471,176,2016-April
2016-05-18,18,May,2016,29,F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,3,9,25.0,38,115,27,2016-May
2016-07-18,18,July,2016,26,F,United States,Washington,Accessories,Tires and Tubes,Touring Tire,25,11,31.088,291,616,275,2016-July
2016-06-09,9,June,2016,22,M,Australia,South Australia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,7,2,5.0,15,79,14,2016-June
2016-05-05,5,May,2016,38,F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",3,2171,3578.0,3470,10033,6513,2016-May
2016-05-09,9,May,2016,45,F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5.36,23,97,24,2016-May
2016-04-25,25,April,2016,29,M,Australia,Victoria,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5.0,27,105,28,2016-April
2016-03-29,29,March,2016,31,F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,21,2,5.0,62,154,42,2016-March
2016-03-18,18,March,2016,43,F,France,Moselle,Bikes,Touring Bikes,"Touring-1000 Blue, 60",1,1482,2384.0,616,2148,1482,2016-March
2016-01-13,13,January,2016,58,F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",1,13,37.52,21,84,13,2016-January
2016-05-15,15,May,2016,33,F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,16,2,5.0,47,129,32,2016-May
2016-02-25,25,February,2016,32,M,Australia,Queensland,Accessories,Helmets,"Sport-100 Helmet, Blue",28,13,35.0,459,873,364,2016-February
2016-03-10,10,March,2016,54,F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 52",1,344,540.0,174,568,344,2016-March
2016-05-16,16,May,2016,47,F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5.36,17,85,18,2016-May
2016-01-21,21,January,2016,34,M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",3,42,57.888000000000005,33,209,126,2016-January
2016-06-05,5,June,2016,55,F,Germany,Brandenburg,Accessories,Helmets,"Sport-100 Helmet, Blue",32,13,35.0,693,1159,416,2016-June
2016-01-05,5,January,2016,26,M,France,Charente-Maritime,Clothing,Caps,AWC Logo Cap,24,7,9.0,44,262,168,2016-January
2016-04-24,24,April,2016,46,M,United States,Washington,Accessories,Tires and Tubes,HL Road Tire,25,12,35.376000000000005,344,694,300,2016-April
2016-02-23,23,February,2016,36,F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,4,1,2.144,4,58,4,2016-February
2016-05-18,18,May,2016,20,F,France,Pas de Calais,Accessories,Tires and Tubes,Road Tire Tube,30,1,4.0,72,152,30,2016-May
2016-03-28,28,March,2016,24,M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",2,420,769.0,498,1388,840,2016-March
2016-04-02,2,April,2016,29,M,Germany,Hessen,Accessories,Fenders,Fender Set - Mountain,15,8,22.0,187,357,120,2016-April
2016-07-26,26,July,2016,39,M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",3,42,57.888000000000005,33,209,126,2016-July
2016-06-15,15,June,2016,23,F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,26,1,4.0,74,150,26,2016-June
2016-01-10,10,January,2016,49,F,United Kingdom,England,Accessories,Tires and Tubes,HL Road Tire,18,12,33.0,354,620,216,2016-January
2016-06-25,25,June,2016,34,F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",2,1266,2320.0,1922,4504,2532,2016-June
2016-06-21,21,June,2016,55,M,United States,Oregon,Accessories,Bottles and Cages,Mountain Bottle Cage,27,4,10.72,124,282,108,2016-June
2016-02-22,22,February,2016,63,F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",16,13,37.52,341,599,208,2016-February
2016-07-04,4,July,2016,23,F,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,26,1,4.288,63,139,26,2016-July
2016-07-06,6,July,2016,17,M,United States,Washington,Accessories,Hydration Packs,Hydration Pack - 70 oz.,5,21,58.96,110,265,105,2016-July
2016-01-08,8,January,2016,42,F,United States,Oregon,Accessories,Tires and Tubes,Mountain Tire Tube,22,2,5.36,51,145,44,2016-January
2016-01-20,20,January,2016,32,M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",11,13,37.52,234,427,143,2016-January
2016-07-12,12,July,2016,33,M,Australia,New South Wales,Accessories,Tires and Tubes,Touring Tire Tube,7,2,5.0,16,80,14,2016-July
2016-02-08,8,February,2016,52,M,United States,California,Accessories,Bottles and Cages,Mountain Bottle Cage,20,4,10.72,116,246,80,2016-February
2016-04-05,5,April,2016,34,M,France,Seine (Paris),Accessories,Tires and Tubes,Road Tire Tube,4,1,4.0,9,63,4,2016-April
2016-04-26,26,April,2016,23,F,France,Seine (Paris),Accessories,Tires and Tubes,LL Road Tire,2,8,21.0,18,84,16,2016-April
2016-05-09,9,May,2016,48,M,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,27,2,5.0,63,167,54,2016-May
2016-03-14,14,March,2016,37,F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,20,2,5.36,58,148,40,2016-March
2016-03-24,24,March,2016,35,M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5.0,53,139,36,2016-March
2016-01-20,20,January,2016,44,M,Germany,Bayern,Accessories,Bottles and Cages,Road Bottle Cage,10,3,9.0,59,139,30,2016-January
2016-05-11,11,May,2016,51,M,United States,Washington,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3618.0,735,2683,1898,2016-May
2016-03-23,23,March,2016,40,M,Australia,Queensland,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443.0,533,2102,1519,2016-March
2016-04-24,24,April,2016,65,M,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5.36,46,144,48,2016-April
2016-04-16,16,April,2016,35,M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5.0,59,151,42,2016-April
2016-05-01,1,May,2016,35,F,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,29,4,10.0,171,337,116,2016-May
2016-03-05,5,March,2016,52,F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5.0,9,65,6,2016-March
2016-04-08,8,April,2016,29,M,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Red, 58",1,1555,2443.0,717,2322,1555,2016-April
2016-06-23,23,June,2016,46,F,France,Hauts de Seine,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295.0,882,2184,1252,2016-June
2016-04-10,10,April,2016,19,F,Germany,Hessen,Accessories,Cleaners,Bike Wash - Dissolver,26,3,8.0,115,243,78,2016-April
2016-04-08,8,April,2016,46,F,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,21,2,5.0,49,141,42,2016-April
2016-01-15,15,January,2016,42,M,United States,Oregon,Accessories,Tires and Tubes,LL Road Tire,27,8,22.512,272,538,216,2016-January
2016-03-28,28,March,2016,42,M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,8,2,5.36,15,81,16,2016-March
2016-06-06,6,June,2016,44,F,United States,Washington,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",7,38,53.6,7,323,266,2016-June
2016-03-02,2,March,2016,46,F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,3,1,2.0,3,56,3,2016-March
2016-05-16,16,May,2016,31,F,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,3,13,37.52,64,153,39,2016-May
2016-07-05,5,July,2016,30,F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,14,2,5.0,41,119,28,2016-July
2016-04-11,11,April,2016,28,M,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,22,1,2.0,13,85,22,2016-April
2016-04-17,17,April,2016,29,M,United States,Washington,Accessories,Tires and Tubes,Road Tire Tube,6,1,4.288,13,69,6,2016-April
2016-04-07,7,April,2016,25,F,France,Seine et Marne,Accessories,Helmets,"Sport-100 Helmet, Black",22,13,35.0,345,681,286,2016-April
2016-05-05,5,May,2016,26,F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5.0,34,108,24,2016-May
2016-05-01,1,May,2016,33,F,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,HL Road Tire,29,12,33.0,485,883,348,2016-May
2016-04-07,7,April,2016,18,F,Germany,Hessen,Accessories,Tires and Tubes,ML Road Tire,13,9,25.0,185,352,117,2016-April
2016-04-12,12,April,2016,52,M,United States,California,Accessories,Tires and Tubes,LL Mountain Tire,22,9,26.8,341,589,198,2016-April
2016-04-11,11,April,2016,25,F,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",4,42,54.0,3,221,168,2016-April
2016-05-02,2,May,2016,21,F,Australia,New South Wales,Accessories,Fenders,Fender Set - Mountain,8,8,22.0,89,203,64,2016-May
2016-02-27,27,February,2016,58,F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,28,1,2.144,16,94,28,2016-February
2016-05-28,28,May,2016,28,M,Australia,South Australia,Accessories,Helmets,"Sport-100 Helmet, Blue",14,13,35.0,220,452,182,2016-May
2016-04-11,11,April,2016,26,M,France,Moselle,Accessories,Helmets,"Sport-100 Helmet, Blue",22,13,35.0,392,728,286,2016-April
2016-05-05,5,May,2016,26,M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",1,13,35.0,22,85,13,2016-May
2016-01-01,1,January,2016,31,F,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5.0,13,75,12,2016-January
2016-01-24,24,January,2016,19,M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,10,1,2.0,10,70,10,2016-January
2016-06-23,23,June,2016,32,F,Australia,Victoria,Accessories,Tires and Tubes,Mountain Tire Tube,31,2,5.0,60,172,62,2016-June
2016-06-24,24,June,2016,43,F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,2,1,2.144,1,53,2,2016-June
2016-03-26,26,March,2016,17,M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Black",22,13,37.52,376,712,286,2016-March
2016-05-20,20,May,2016,53,F,France,Seine (Paris),Bikes,Road Bikes,"Road-250 Black, 48",1,1555,2443.0,448,2053,1555,2016-May
2016-05-13,13,May,2016,38,M,Australia,Queensland,Accessories,Fenders,Fender Set - Mountain,23,8,22.0,241,475,184,2016-May
2016-05-11,11,May,2016,26,F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5.0,14,74,10,2016-May
2016-05-14,14,May,2016,26,F,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,17,2,5.0,36,120,34,2016-May
2016-03-25,25,March,2016,34,F,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Blue",2,13,35.0,29,105,26,2016-March
2016-05-28,28,May,2016,48,F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5.0,59,151,42,2016-May
2016-02-06,6,February,2016,37,F,Australia,New South Wales,Accessories,Tires and Tubes,LL Mountain Tire,24,9,25.0,306,572,216,2016-February
2016-06-03,3,June,2016,28,M,United States,California,Accessories,Bottles and Cages,Mountain Bottle Cage,20,4,10.72,116,246,80,2016-June
2016-05-21,21,May,2016,39,F,United States,Oregon,Clothing,Caps,AWC Logo Cap,24,7,9.648,18,236,168,2016-May
2016-06-22,22,June,2016,42,M,United Kingdom,England,Accessories,Tires and Tubes,Mountain Tire Tube,32,2,5.0,90,204,64,2016-June
2016-04-27,27,April,2016,33,M,Canada,British Columbia,Clothing,Caps,AWC Logo Cap,31,7,9.0,59,326,217,2016-April
2016-04-22,22,April,2016,33,M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,Road Tire Tube,10,1,4.0,25,85,10,2016-April
2016-05-09,9,May,2016,50,M,United States,Washington,Clothing,Shorts,"Women's Mountain Shorts, S",8,26,75.04,229,487,208,2016-May
2016-05-21,21,May,2016,42,M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,7,2,5.0,21,85,14,2016-May
2016-07-15,15,July,2016,21,M,United States,California,Accessories,Bottles and Cages,Mountain Bottle Cage,13,4,10.72,75,177,52,2016-July
2016-01-17,17,January,2016,22,F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5.36,17,79,12,2016-January
2016-03-29,29,March,2016,47,F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",10,42,54.0,98,568,420,2016-March
2016-04-19,19,April,2016,26,M,Germany,Saarland,Accessories,Helmets,"Sport-100 Helmet, Black",3,13,35.0,47,136,39,2016-April
2016-04-13,13,April,2016,53,F,United Kingdom,England,Accessories,Tires and Tubes,HL Mountain Tire,21,13,35.0,433,756,273,2016-April
2016-03-19,19,March,2016,37,M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5.0,83,189,56,2016-March
2016-01-11,11,January,2016,44,F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Red",15,13,35.0,309,554,195,2016-January
2016-06-30,30,June,2016,37,M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400.0,1046,3008,1912,2016-June
2016-05-09,9,May,2016,25,F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5.0,39,117,28,2016-May
2016-04-05,5,April,2016,18,F,United States,Oregon,Accessories,Tires and Tubes,Mountain Tire Tube,1,2,5.36,2,54,2,2016-April
2016-04-20,20,April,2016,38,M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Black, 58",3,1555,2443.0,2371,7086,4665,2016-April
2016-04-03,3,April,2016,56,F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",32,13,35.0,693,1159,416,2016-April
2016-06-03,3,June,2016,32,M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5.36,55,143,38,2016-June
2016-01-10,10,January,2016,32,M,Australia,Queensland,Accessories,Helmets,"Sport-100 Helmet, Blue",12,13,35.0,197,403,156,2016-January
2016-05-01,1,May,2016,63,M,United States,California,Bikes,Road Bikes,"Road-250 Red, 58",3,1555,2618.896,2517,7232,4665,2016-May
2016-02-05,5,February,2016,61,M,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,22,2,5.36,64,158,44,2016-February
2016-02-08,8,February,2016,21,M,Australia,New South Wales,Accessories,Tires and Tubes,Touring Tire Tube,5,2,5.0,12,72,10,2016-February
2016-04-22,22,April,2016,20,M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",27,13,35.0,471,872,351,2016-April
2016-04-14,14,April,2016,55,M,United States,Washington,Accessories,Fenders,Fender Set - Mountain,13,8,23.584000000000003,119,273,104,2016-April
2016-06-02,2,June,2016,47,F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",7,13,37.52,149,290,91,2016-June
2016-06-07,7,June,2016,24,F,Germany,Bayern,Accessories,Tires and Tubes,Touring Tire,13,11,29.0,230,423,143,2016-June
2016-01-06,6,January,2016,44,M,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5.0,7,63,6,2016-January
2016-06-13,13,June,2016,20,F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,18,1,4.0,51,119,18,2016-June
2016-01-04,4,January,2016,25,M,Australia,Queensland,Accessories,Tires and Tubes,Road Tire Tube,11,1,4.0,26,87,11,2016-January
2016-06-18,18,June,2016,25,M,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,1,13,35.0,22,85,13,2016-June
2016-04-12,12,April,2016,47,M,United States,California,Accessories,Tires and Tubes,LL Road Tire,10,8,22.512,126,256,80,2016-April
2016-06-20,20,June,2016,22,M,France,Nord,Accessories,Tires and Tubes,Touring Tire Tube,7,2,5.0,16,80,14,2016-June
2016-07-15,15,July,2016,22,M,United States,Oregon,Accessories,Tires and Tubes,Touring Tire Tube,3,2,5.36,7,63,6,2016-July
2016-06-20,20,June,2016,32,F,France,Essonne,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320.0,961,2277,1266,2016-June
2016-06-16,16,June,2016,20,F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,7,1,2.144,4,61,7,2016-June
2016-04-07,7,April,2016,53,F,United States,California,Accessories,Bottles and Cages,Road Bottle Cage,20,3,9.648,116,226,60,2016-April
2016-04-10,10,April,2016,39,M,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,8,1,2.0,5,63,8,2016-April
2016-04-21,21,April,2016,44,F,United States,California,Bikes,Touring Bikes,"Touring-3000 Yellow, 62",1,461,795.4240000000001,266,777,461,2016-April
2016-02-14,14,February,2016,21,F,Germany,Nordrhein-Westfalen,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120.0,238,468,180,2016-February
2016-05-25,25,May,2016,34,F,United States,California,Accessories,Fenders,Fender Set - Mountain,16,8,23.584000000000003,217,395,128,2016-May
2016-05-28,28,May,2016,51,M,France,Seine et Marne,Accessories,Tires and Tubes,Patch Kit/8 Patches,9,1,2.0,6,65,9,2016-May
